amino_acid,relative_max_efficiency,rank,amino_acid_full,aa_proteinogenic
Cha,1.0,1,β-cyclohexylalanine,0
Asn,0.4040342809364548,2,asparagine,1
Lys,0.2938754180602007,3,lysine,1
Ser,0.29344785649133476,4,serine,1
Trp,0.2623783824870781,5,tryptophan,1
Orn,0.25356871389480085,6,ornithine,0
Hcy,0.23982403466099117,7,homocysteine,0
Sem,0.2210854363028276,8,selenomethionine,0
Thr,0.19939001216175128,9,threonine,1
Tle,0.18520066889632106,10,tert-leucine,0
His,0.18299445120097294,11,histidine,1
Tyr,0.15379294618425055,12,tyrosine,1
Gln,0.1458479020979021,13,glutamine,1
Pen,0.10075630890848282,14,penicillamine,0
Eth,0.09940711462450592,15,ethionine,0
Gly,0.086756993006993,16,glycine,1
Met,0.08161295226512617,17,methionine,1
Phe,0.07651641836424446,18,phenylalanine,1
Cth,0.07646701124961995,19,cystathionine,0
Leu,0.05955647613256309,20,leucine,1
The,0.057937442991790815,21,β-homothreonine,0
Nle,0.05464996959562177,22,norleucine,0
Ile,0.05080001520218912,23,isoleucine,1
Aad,0.0475258437214959,24,α-aminoadipic acid,0
Nva,0.04238560352690787,25,norvaline,0
Val,0.0335360291882031,26,valine,1
Ala,0.02709030100334448,27,alanine,1
Cit,0.021763833992094864,28,citrulline,0
Hse,0.01956711766494375,29,homoserine,0
Gsh,0.014949452721191851,30,glutathione,0
