lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHAad-1,CH,Aad,1,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,191.29605263157896,199.54536011080333,213.27804709141273,2888,26.45333333333332
CHAad-2,CH,Aad,2,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,181.42212096106047,203.9453189726595,211.17067108533556,2414,23.590000000000003
CHAad-3,CH,Aad,3,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",7.5312850134622735,,0,0,207.35703740157481,179.5396161417323,208.26328740157481,4064,37.73588541666663
CHAad-4,CH,Aad,4,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.85093863827402,192.84337349397592,216.2269543289437,3569,29.704479166666687
CHAad-5,CH,Aad,5,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,204.31933508311462,194.04228638086906,215.4604841061534,3429,29.243385416666655
CHAad-6,CH,Aad,6,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.76711409395972,199.25771812080538,213.0748322147651,2980,26.91739583333333
CHAad-7,CH,Aad,7,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.772983643542,192.7794698251551,216.17822899041172,3546,29.57630208333333
CHAad-8,CH,Aad,8,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,167.62406947890818,210.1588089330025,209.29714640198512,1612,17.68046874999999
CHAad-9,CH,Aad,9,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,207.7892967217708,192.78761557859343,216.18660689268702,3569,29.751197916666683
CHAad-10,CH,Aad,10,α-aminoadipic acid,0,"cyclic head (cyclohexyl- isocyanide, rigid)",7.978146184440185,,0,0,205.5793918918919,176.8807915057915,206.48407335907336,4144,39.75635416666668
