flippase_id,serotype_id,flippase_long,substrate_long,output_rpm,fold_change,ratio,log2_fold_change,is_cognate,is_gof,flippase_group
2J,1,Cps2J,Serotype 1 CPS precursor,0.0,130.0,1.3,0.37851162325372983,False,False,strict_named
2J,2,Cps2J,Serotype 2 CPS precursor,11.1,131.0,1.31,0.3895668117627256,True,False,strict_named
2J,4,Cps2J,Serotype 4 CPS precursor,0.5,297.0,2.97,1.5704629310260412,False,False,strict_named
2J,5,Cps2J,Serotype 5 CPS precursor,0.2,63.0,0.63,-0.6665762662748083,False,False,strict_named
2J,6A,Cps2J,Serotype 6A CPS precursor,0.2,78.0,0.78,-0.3584539709124763,False,False,strict_named
2J,6B,Cps2J,Serotype 6B CPS precursor,0.1,93.0,0.93,-0.10469737866669324,False,False,strict_named
2J,6C,Cps2J,Serotype 6C CPS precursor,0.1,133.0,1.33,0.41142624572646497,False,False,strict_named
2J,6D,Cps2J,Serotype 6D CPS precursor,0.1,163.0,1.63,0.7048719644563528,False,False,strict_named
2J,7A,Cps2J,Serotype 7A CPS precursor,0.1,115.0,1.15,0.2016338611696504,False,False,strict_named
2J,7B,Cps2J,Serotype 7B CPS precursor,0.1,154.0,1.54,0.6229303509201767,False,False,strict_named
2J,7C,Cps2J,Serotype 7C CPS precursor,0.1,71.0,0.71,-0.4941090702700427,False,False,strict_named
2J,7F,Cps2J,Serotype 7F CPS precursor,0.2,139.0,1.39,0.47508488294878265,False,False,strict_named
2J,8,Cps2J,Serotype 8 CPS precursor,0.1,60.0,0.6,-0.7369655941662062,False,False,strict_named
2J,9N,Cps2J,Serotype 9N CPS precursor,0.1,139.0,1.39,0.47508488294878265,False,False,strict_named
2J,9V,Cps2J,Serotype 9V CPS precursor,0.1,79.0,0.79,-0.3400754415976217,False,False,strict_named
2J,9A,Cps2J,Serotype 9A CPS precursor,0.3,71.0,0.71,-0.4941090702700427,False,False,strict_named
2J,9L,Cps2J,Serotype 9L CPS precursor,0.5,143.0,1.43,0.5160151470036647,False,False,strict_named
2J,10A,Cps2J,Serotype 10A CPS precursor,0.1,69.0,0.69,-0.5353317329965558,False,False,strict_named
2J,10C,Cps2J,Serotype 10C CPS precursor,0.1,139.0,1.39,0.47508488294878265,False,False,strict_named
2J,10F,Cps2J,Serotype 10F CPS precursor,0.1,54.0,0.54,-0.888968687611256,False,False,strict_named
2J,12A,Cps2J,Serotype 12A CPS precursor,0.1,64.0,0.64,-0.6438561897747247,False,False,strict_named
2J,12B,Cps2J,Serotype 12B CPS precursor,0.0,68.0,0.68,-0.5563933485243852,False,False,strict_named
2J,12F,Cps2J,Serotype 12F CPS precursor,0.0,76.0,0.76,-0.3959286763311392,False,False,strict_named
2J,13,Cps2J,Serotype 13 CPS precursor,0.1,54.0,0.54,-0.888968687611256,False,False,strict_named
2J,14,Cps2J,Serotype 14 CPS precursor,0.4,186.0,1.86,0.8953026213333067,False,False,strict_named
2J,15A,Cps2J,Serotype 15A CPS precursor,0.4,77.0,0.77,-0.3770696490798233,False,False,strict_named
2J,15B,Cps2J,Serotype 15B CPS precursor,0.1,135.0,1.35,0.43295940727610627,False,False,strict_named
2J,15C,Cps2J,Serotype 15C CPS precursor,0.3,81.0,0.81,-0.3040061868900999,False,False,strict_named
2J,15F,Cps2J,Serotype 15F CPS precursor,0.1,122.0,1.22,0.28688114778816154,False,False,strict_named
2J,16F,Cps2J,Serotype 16F CPS precursor,0.2,142.0,1.42,0.5058909297299573,False,False,strict_named
2J,17A,Cps2J,Serotype 17A CPS precursor,0.3,85.0,0.85,-0.23446525363702297,False,False,strict_named
2J,17F,Cps2J,Serotype 17F CPS precursor,0.2,97.0,0.97,-0.043943347587597055,False,False,strict_named
2J,18A,Cps2J,Serotype 18A CPS precursor,0.2,129.0,1.29,0.36737106564852945,False,False,strict_named
2J,18B,Cps2J,Serotype 18B CPS precursor,0.2,274.0,2.74,1.4541758931858022,False,False,strict_named
2J,18C,Cps2J,Serotype 18C CPS precursor,0.4,297.0,2.97,1.5704629310260412,False,False,strict_named
2J,18F,Cps2J,Serotype 18F CPS precursor,0.1,290.0,2.9,1.5360529002402097,False,False,strict_named
2J,19A,Cps2J,Serotype 19A CPS precursor,0.4,138.0,1.38,0.46466826700344427,False,False,strict_named
2J,19B,Cps2J,Serotype 19B CPS precursor,0.0,135.0,1.35,0.43295940727610627,False,False,strict_named
2J,19C,Cps2J,Serotype 19C CPS precursor,0.2,122.0,1.22,0.28688114778816154,False,False,strict_named
2J,19F,Cps2J,Serotype 19F CPS precursor,0.2,294.0,2.94,1.5558161550616396,False,False,strict_named
2J,20,Cps2J,Serotype 20 CPS precursor,0.1,140.0,1.4,0.48542682717024166,False,False,strict_named
2J,21,Cps2J,Serotype 21 CPS precursor,0.0,146.0,1.46,0.5459683691052925,False,False,strict_named
2J,22A,Cps2J,Serotype 22A CPS precursor,0.1,130.0,1.3,0.37851162325372983,False,False,strict_named
2J,22F,Cps2J,Serotype 22F CPS precursor,0.2,144.0,1.44,0.5260688116675876,False,False,strict_named
2J,23A,Cps2J,Serotype 23A CPS precursor,0.2,147.0,1.47,0.5558161550616397,False,False,strict_named
2J,23B,Cps2J,Serotype 23B CPS precursor,0.1,131.0,1.31,0.3895668117627256,False,False,strict_named
2J,23F,Cps2J,Serotype 23F CPS precursor,0.0,137.0,1.37,0.45417589318580215,False,False,strict_named
2J,24A,Cps2J,Serotype 24A CPS precursor,0.2,127.0,1.27,0.34482849699744117,False,False,strict_named
2J,24B,Cps2J,Serotype 24B CPS precursor,0.2,144.0,1.44,0.5260688116675876,False,False,strict_named
2J,24F,Cps2J,Serotype 24F CPS precursor,0.0,126.0,1.26,0.3334237337251918,False,False,strict_named
2J,27,Cps2J,Serotype 27 CPS precursor,0.1,55.0,0.55,-0.862496476250065,False,False,strict_named
2J,28A,Cps2J,Serotype 28A CPS precursor,0.1,158.0,1.58,0.6599245584023783,False,False,strict_named
2J,28F,Cps2J,Serotype 28F CPS precursor,0.1,137.0,1.37,0.45417589318580215,False,False,strict_named
2J,29,Cps2J,Serotype 29 CPS precursor,0.1,137.0,1.37,0.45417589318580215,False,False,strict_named
2J,31,Cps2J,Serotype 31 CPS precursor,0.1,198.0,1.98,0.9855004303048849,False,False,strict_named
2J,32A,Cps2J,Serotype 32A CPS precursor,0.1,69.0,0.69,-0.5353317329965558,False,False,strict_named
2J,32F,Cps2J,Serotype 32F CPS precursor,0.0,129.0,1.29,0.36737106564852945,False,False,strict_named
2J,33A,Cps2J,Serotype 33A CPS precursor,0.1,80.0,0.8,-0.3219280948873623,False,False,strict_named
2J,33F,Cps2J,Serotype 33F CPS precursor,0.0,137.0,1.37,0.45417589318580215,False,False,strict_named
2J,33B,Cps2J,Serotype 33B CPS precursor,0.0,69.0,0.69,-0.5353317329965558,False,False,strict_named
2J,33C,Cps2J,Serotype 33C CPS precursor,0.1,149.0,1.49,0.5753123306874368,False,False,strict_named
2J,33D,Cps2J,Serotype 33D CPS precursor,0.0,144.0,1.44,0.5260688116675876,False,False,strict_named
2J,34,Cps2J,Serotype 34 CPS precursor,0.2,143.0,1.43,0.5160151470036647,False,False,strict_named
2J,35A,Cps2J,Serotype 35A CPS precursor,0.0,85.0,0.85,-0.23446525363702297,False,False,strict_named
2J,35B,Cps2J,Serotype 35B CPS precursor,0.1,114.0,1.14,0.18903382439001687,False,False,strict_named
2J,35C,Cps2J,Serotype 35C CPS precursor,0.1,104.0,1.04,0.056583528366367514,False,False,strict_named
2J,36,Cps2J,Serotype 36 CPS precursor,0.0,89.0,0.89,-0.16812275880832692,False,False,strict_named
2J,39,Cps2J,Serotype 39 CPS precursor,0.0,152.0,1.52,0.6040713236688608,False,False,strict_named
2J,40,Cps2J,Serotype 40 CPS precursor,0.0,139.0,1.39,0.47508488294878265,False,False,strict_named
2J,41A,Cps2J,Serotype 41A CPS precursor,0.0,135.0,1.35,0.43295940727610627,False,False,strict_named
2J,41F,Cps2J,Serotype 41F CPS precursor,0.0,70.0,0.7,-0.5145731728297583,False,False,strict_named
2J,42,Cps2J,Serotype 42 CPS precursor,0.0,69.0,0.69,-0.5353317329965558,False,False,strict_named
2J,43,Cps2J,Serotype 43 CPS precursor,0.1,77.0,0.77,-0.3770696490798233,False,False,strict_named
2J,44,Cps2J,Serotype 44 CPS precursor,0.2,63.0,0.63,-0.6665762662748083,False,False,strict_named
2J,45,Cps2J,Serotype 45 CPS precursor,0.1,64.0,0.64,-0.6438561897747247,False,False,strict_named
2J,46,Cps2J,Serotype 46 CPS precursor,0.2,85.0,0.85,-0.23446525363702297,False,False,strict_named
2J,47A,Cps2J,Serotype 47A CPS precursor,0.1,62.0,0.62,-0.6896598793878495,False,False,strict_named
2J,47F,Cps2J,Serotype 47F CPS precursor,0.1,78.0,0.78,-0.3584539709124763,False,False,strict_named
2J,48,Cps2J,Serotype 48 CPS precursor,0.1,90.0,0.9,-0.15200309344504995,False,False,strict_named
4J,1,Cps4J,Serotype 1 CPS precursor,0.7,108.0,1.08,0.11103131238874395,False,False,strict_named
4J,2,Cps4J,Serotype 2 CPS precursor,0.1,110.0,1.1,0.13750352374993502,False,False,strict_named
4J,4,Cps4J,Serotype 4 CPS precursor,32.3,108.0,1.08,0.11103131238874395,True,False,strict_named
4J,5,Cps4J,Serotype 5 CPS precursor,0.2,119.0,1.19,0.25096157353321874,False,False,strict_named
4J,6A,Cps4J,Serotype 6A CPS precursor,0.2,114.0,1.14,0.18903382439001687,False,False,strict_named
4J,6B,Cps4J,Serotype 6B CPS precursor,0.1,123.0,1.23,0.29865831556451516,False,False,strict_named
4J,6C,Cps4J,Serotype 6C CPS precursor,0.1,123.0,1.23,0.29865831556451516,False,False,strict_named
4J,6D,Cps4J,Serotype 6D CPS precursor,0.0,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,7A,Cps4J,Serotype 7A CPS precursor,0.1,98.0,0.98,-0.029146345659516508,False,False,strict_named
4J,7B,Cps4J,Serotype 7B CPS precursor,0.1,117.0,1.17,0.22650852980867975,False,False,strict_named
4J,7C,Cps4J,Serotype 7C CPS precursor,0.1,123.0,1.23,0.29865831556451516,False,False,strict_named
4J,7F,Cps4J,Serotype 7F CPS precursor,0.1,104.0,1.04,0.056583528366367514,False,False,strict_named
4J,8,Cps4J,Serotype 8 CPS precursor,0.1,120.0,1.2,0.2630344058337938,False,False,strict_named
4J,9N,Cps4J,Serotype 9N CPS precursor,0.0,104.0,1.04,0.056583528366367514,False,False,strict_named
4J,9V,Cps4J,Serotype 9V CPS precursor,0.2,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,9A,Cps4J,Serotype 9A CPS precursor,0.2,123.0,1.23,0.29865831556451516,False,False,strict_named
4J,9L,Cps4J,Serotype 9L CPS precursor,0.3,99.0,0.99,-0.014499569695115089,False,False,strict_named
4J,10A,Cps4J,Serotype 10A CPS precursor,0.1,120.0,1.2,0.2630344058337938,False,False,strict_named
4J,10C,Cps4J,Serotype 10C CPS precursor,0.1,114.0,1.14,0.18903382439001687,False,False,strict_named
4J,10F,Cps4J,Serotype 10F CPS precursor,0.1,118.0,1.18,0.23878685958711648,False,False,strict_named
4J,12A,Cps4J,Serotype 12A CPS precursor,0.2,108.0,1.08,0.11103131238874395,False,False,strict_named
4J,12B,Cps4J,Serotype 12B CPS precursor,0.0,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,12F,Cps4J,Serotype 12F CPS precursor,0.0,109.0,1.09,0.12432813500220177,False,False,strict_named
4J,13,Cps4J,Serotype 13 CPS precursor,0.1,118.0,1.18,0.23878685958711648,False,False,strict_named
4J,14,Cps4J,Serotype 14 CPS precursor,0.5,101.0,1.01,0.014355292977070054,False,False,strict_named
4J,15A,Cps4J,Serotype 15A CPS precursor,0.2,134.0,1.34,0.4222330006830478,False,False,strict_named
4J,15B,Cps4J,Serotype 15B CPS precursor,0.1,92.0,0.92,-0.12029423371771177,False,False,strict_named
4J,15C,Cps4J,Serotype 15C CPS precursor,0.2,110.0,1.1,0.13750352374993502,False,False,strict_named
4J,15F,Cps4J,Serotype 15F CPS precursor,0.1,104.0,1.04,0.056583528366367514,False,False,strict_named
4J,16F,Cps4J,Serotype 16F CPS precursor,0.2,120.0,1.2,0.2630344058337938,False,False,strict_named
4J,17A,Cps4J,Serotype 17A CPS precursor,0.2,117.0,1.17,0.22650852980867975,False,False,strict_named
4J,17F,Cps4J,Serotype 17F CPS precursor,0.2,140.0,1.4,0.48542682717024166,False,False,strict_named
4J,18A,Cps4J,Serotype 18A CPS precursor,0.2,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,18B,Cps4J,Serotype 18B CPS precursor,0.2,108.0,1.08,0.11103131238874395,False,False,strict_named
4J,18C,Cps4J,Serotype 18C CPS precursor,0.4,108.0,1.08,0.11103131238874395,False,False,strict_named
4J,18F,Cps4J,Serotype 18F CPS precursor,0.2,109.0,1.09,0.12432813500220177,False,False,strict_named
4J,19A,Cps4J,Serotype 19A CPS precursor,0.4,115.0,1.15,0.2016338611696504,False,False,strict_named
4J,19B,Cps4J,Serotype 19B CPS precursor,0.0,108.0,1.08,0.11103131238874395,False,False,strict_named
4J,19C,Cps4J,Serotype 19C CPS precursor,0.2,110.0,1.1,0.13750352374993502,False,False,strict_named
4J,19F,Cps4J,Serotype 19F CPS precursor,0.2,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,20,Cps4J,Serotype 20 CPS precursor,0.1,111.0,1.11,0.15055967657538138,False,False,strict_named
4J,21,Cps4J,Serotype 21 CPS precursor,0.1,120.0,1.2,0.2630344058337938,False,False,strict_named
4J,22A,Cps4J,Serotype 22A CPS precursor,0.1,115.0,1.15,0.2016338611696504,False,False,strict_named
4J,22F,Cps4J,Serotype 22F CPS precursor,0.0,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,23A,Cps4J,Serotype 23A CPS precursor,0.2,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,23B,Cps4J,Serotype 23B CPS precursor,0.2,100.0,1.0,0.0,False,False,strict_named
4J,23F,Cps4J,Serotype 23F CPS precursor,0.0,111.0,1.11,0.15055967657538138,False,False,strict_named
4J,24A,Cps4J,Serotype 24A CPS precursor,0.3,109.0,1.09,0.12432813500220177,False,False,strict_named
4J,24B,Cps4J,Serotype 24B CPS precursor,0.2,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,24F,Cps4J,Serotype 24F CPS precursor,0.1,111.0,1.11,0.15055967657538138,False,False,strict_named
4J,27,Cps4J,Serotype 27 CPS precursor,0.1,105.0,1.05,0.070389327891398,False,False,strict_named
4J,28A,Cps4J,Serotype 28A CPS precursor,0.0,114.0,1.14,0.18903382439001687,False,False,strict_named
4J,28F,Cps4J,Serotype 28F CPS precursor,0.0,106.0,1.06,0.08406426478847455,False,False,strict_named
4J,29,Cps4J,Serotype 29 CPS precursor,0.1,111.0,1.11,0.15055967657538138,False,False,strict_named
4J,31,Cps4J,Serotype 31 CPS precursor,0.1,137.0,1.37,0.45417589318580215,False,False,strict_named
4J,32A,Cps4J,Serotype 32A CPS precursor,0.0,110.0,1.1,0.13750352374993502,False,False,strict_named
4J,32F,Cps4J,Serotype 32F CPS precursor,0.0,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,33A,Cps4J,Serotype 33A CPS precursor,0.0,126.0,1.26,0.3334237337251918,False,False,strict_named
4J,33F,Cps4J,Serotype 33F CPS precursor,0.0,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,33B,Cps4J,Serotype 33B CPS precursor,0.1,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,33C,Cps4J,Serotype 33C CPS precursor,0.2,107.0,1.07,0.09761079662642233,False,False,strict_named
4J,33D,Cps4J,Serotype 33D CPS precursor,0.0,107.0,1.07,0.09761079662642233,False,False,strict_named
4J,34,Cps4J,Serotype 34 CPS precursor,0.1,103.0,1.03,0.04264433740849372,False,False,strict_named
4J,35A,Cps4J,Serotype 35A CPS precursor,0.0,112.0,1.12,0.16349873228287956,False,False,strict_named
4J,35B,Cps4J,Serotype 35B CPS precursor,0.2,103.0,1.03,0.04264433740849372,False,False,strict_named
4J,35C,Cps4J,Serotype 35C CPS precursor,0.0,124.0,1.24,0.3103401206121505,False,False,strict_named
4J,36,Cps4J,Serotype 36 CPS precursor,0.1,121.0,1.21,0.27500704749986976,False,False,strict_named
4J,39,Cps4J,Serotype 39 CPS precursor,0.1,109.0,1.09,0.12432813500220177,False,False,strict_named
4J,40,Cps4J,Serotype 40 CPS precursor,0.0,120.0,1.2,0.2630344058337938,False,False,strict_named
4J,41A,Cps4J,Serotype 41A CPS precursor,0.0,113.0,1.13,0.17632277264046287,False,False,strict_named
4J,41F,Cps4J,Serotype 41F CPS precursor,0.0,121.0,1.21,0.27500704749986976,False,False,strict_named
4J,42,Cps4J,Serotype 42 CPS precursor,0.0,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,43,Cps4J,Serotype 43 CPS precursor,0.1,119.0,1.19,0.25096157353321874,False,False,strict_named
4J,44,Cps4J,Serotype 44 CPS precursor,0.1,118.0,1.18,0.23878685958711648,False,False,strict_named
4J,45,Cps4J,Serotype 45 CPS precursor,0.1,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,46,Cps4J,Serotype 46 CPS precursor,0.1,118.0,1.18,0.23878685958711648,False,False,strict_named
4J,47A,Cps4J,Serotype 47A CPS precursor,0.1,116.0,1.16,0.21412480535284734,False,False,strict_named
4J,47F,Cps4J,Serotype 47F CPS precursor,0.1,128.0,1.28,0.35614381022527536,False,False,strict_named
4J,48,Cps4J,Serotype 48 CPS precursor,0.1,115.0,1.15,0.2016338611696504,False,False,strict_named
5J,1,Cps5J,Serotype 1 CPS precursor,0.7,115.0,1.15,0.2016338611696504,False,False,strict_named
5J,2,Cps5J,Serotype 2 CPS precursor,0.0,113.0,1.13,0.17632277264046287,False,False,strict_named
5J,4,Cps5J,Serotype 4 CPS precursor,0.5,106.0,1.06,0.08406426478847455,False,False,strict_named
5J,5,Cps5J,Serotype 5 CPS precursor,2.1,113.0,1.13,0.17632277264046287,True,False,strict_named
5J,6A,Cps5J,Serotype 6A CPS precursor,0.2,120.0,1.2,0.2630344058337938,False,False,strict_named
5J,6B,Cps5J,Serotype 6B CPS precursor,0.1,129.0,1.29,0.36737106564852945,False,False,strict_named
5J,6C,Cps5J,Serotype 6C CPS precursor,0.1,135.0,1.35,0.43295940727610627,False,False,strict_named
5J,6D,Cps5J,Serotype 6D CPS precursor,0.0,118.0,1.18,0.23878685958711648,False,False,strict_named
5J,7A,Cps5J,Serotype 7A CPS precursor,0.1,95.0,0.95,-0.07400058144377693,False,False,strict_named
5J,7B,Cps5J,Serotype 7B CPS precursor,0.1,129.0,1.29,0.36737106564852945,False,False,strict_named
5J,7C,Cps5J,Serotype 7C CPS precursor,0.1,133.0,1.33,0.41142624572646497,False,False,strict_named
5J,7F,Cps5J,Serotype 7F CPS precursor,0.2,115.0,1.15,0.2016338611696504,False,False,strict_named
5J,8,Cps5J,Serotype 8 CPS precursor,0.1,113.0,1.13,0.17632277264046287,False,False,strict_named
5J,9N,Cps5J,Serotype 9N CPS precursor,0.1,109.0,1.09,0.12432813500220177,False,False,strict_named
5J,9V,Cps5J,Serotype 9V CPS precursor,0.2,127.0,1.27,0.34482849699744117,False,False,strict_named
5J,9A,Cps5J,Serotype 9A CPS precursor,0.2,123.0,1.23,0.29865831556451516,False,False,strict_named
5J,9L,Cps5J,Serotype 9L CPS precursor,0.3,111.0,1.11,0.15055967657538138,False,False,strict_named
5J,10A,Cps5J,Serotype 10A CPS precursor,0.1,120.0,1.2,0.2630344058337938,False,False,strict_named
5J,10C,Cps5J,Serotype 10C CPS precursor,0.1,114.0,1.14,0.18903382439001687,False,False,strict_named
5J,10F,Cps5J,Serotype 10F CPS precursor,0.1,111.0,1.11,0.15055967657538138,False,False,strict_named
5J,12A,Cps5J,Serotype 12A CPS precursor,0.2,103.0,1.03,0.04264433740849372,False,False,strict_named
5J,12B,Cps5J,Serotype 12B CPS precursor,0.0,121.0,1.21,0.27500704749986976,False,False,strict_named
5J,12F,Cps5J,Serotype 12F CPS precursor,0.0,126.0,1.26,0.3334237337251918,False,False,strict_named
5J,13,Cps5J,Serotype 13 CPS precursor,0.1,111.0,1.11,0.15055967657538138,False,False,strict_named
5J,14,Cps5J,Serotype 14 CPS precursor,0.5,205.0,2.05,1.0356239097307212,False,False,strict_named
5J,15A,Cps5J,Serotype 15A CPS precursor,0.2,142.0,1.42,0.5058909297299573,False,False,strict_named
5J,15B,Cps5J,Serotype 15B CPS precursor,0.1,215.0,2.15,1.1043366598147355,False,False,strict_named
5J,15C,Cps5J,Serotype 15C CPS precursor,0.2,208.0,2.08,1.0565835283663676,False,False,strict_named
5J,15F,Cps5J,Serotype 15F CPS precursor,0.1,114.0,1.14,0.18903382439001687,False,False,strict_named
5J,16F,Cps5J,Serotype 16F CPS precursor,0.2,121.0,1.21,0.27500704749986976,False,False,strict_named
5J,17A,Cps5J,Serotype 17A CPS precursor,0.3,119.0,1.19,0.25096157353321874,False,False,strict_named
5J,17F,Cps5J,Serotype 17F CPS precursor,0.2,159.0,1.59,0.6690267655096307,False,False,strict_named
5J,18A,Cps5J,Serotype 18A CPS precursor,0.3,120.0,1.2,0.2630344058337938,False,False,strict_named
5J,18B,Cps5J,Serotype 18B CPS precursor,0.1,104.0,1.04,0.056583528366367514,False,False,strict_named
5J,18C,Cps5J,Serotype 18C CPS precursor,0.4,102.0,1.02,0.02856915219677092,False,False,strict_named
5J,18F,Cps5J,Serotype 18F CPS precursor,0.1,109.0,1.09,0.12432813500220177,False,False,strict_named
5J,19A,Cps5J,Serotype 19A CPS precursor,0.4,112.0,1.12,0.16349873228287956,False,False,strict_named
5J,19B,Cps5J,Serotype 19B CPS precursor,0.0,118.0,1.18,0.23878685958711648,False,False,strict_named
5J,19C,Cps5J,Serotype 19C CPS precursor,0.2,111.0,1.11,0.15055967657538138,False,False,strict_named
5J,19F,Cps5J,Serotype 19F CPS precursor,0.3,101.0,1.01,0.014355292977070054,False,False,strict_named
5J,20,Cps5J,Serotype 20 CPS precursor,0.1,126.0,1.26,0.3334237337251918,False,False,strict_named
5J,21,Cps5J,Serotype 21 CPS precursor,0.1,131.0,1.31,0.3895668117627256,False,False,strict_named
5J,22A,Cps5J,Serotype 22A CPS precursor,0.1,125.0,1.25,0.32192809488736235,False,False,strict_named
5J,22F,Cps5J,Serotype 22F CPS precursor,0.1,132.0,1.32,0.4005379295837288,False,False,strict_named
5J,23A,Cps5J,Serotype 23A CPS precursor,0.1,137.0,1.37,0.45417589318580215,False,False,strict_named
5J,23B,Cps5J,Serotype 23B CPS precursor,0.2,109.0,1.09,0.12432813500220177,False,False,strict_named
5J,23F,Cps5J,Serotype 23F CPS precursor,0.1,122.0,1.22,0.28688114778816154,False,False,strict_named
5J,24A,Cps5J,Serotype 24A CPS precursor,0.2,111.0,1.11,0.15055967657538138,False,False,strict_named
5J,24B,Cps5J,Serotype 24B CPS precursor,0.2,116.0,1.16,0.21412480535284734,False,False,strict_named
