composition_id,W,Re,Os,H25_HV,H1000_HV,R1000,pileup_um,TOPSIS_Ci,phase_label
W3Re3Os94,3,3,94,741,411,0.55,0.1,0.22,HCP
W3Re6Os91,3,6,91,793,423,0.53,0.4,0.21,HCP
W3Re9Os88,3,9,88,794,442,0.56,0.0,0.23,HCP
W3Re12Os85,3,12,85,794,460,0.58,0.0,0.26,HCP
W3Re15Os82,3,15,82,768,454,0.59,0.0,0.27,HCP
W3Re18Os79,3,18,79,741,446,0.6,0.0,0.27,HCP
W3Re21Os76,3,21,76,715,431,0.6,0.14,0.27,HCP
W3Re24Os73,3,24,73,689,415,0.6,0.3,0.27,HCP
W3Re27Os70,3,27,70,662,399,0.6,0.28,0.27,HCP
W3Re30Os67,3,30,67,664,400,0.6,0.42,0.27,HCP
W3Re33Os64,3,33,64,636,383,0.6,0.56,0.27,HCP
W3Re36Os61,3,36,61,633,388,0.61,0.7,0.28,HCP
W3Re39Os58,3,39,58,637,398,0.62,0.7,0.29,HCP
W3Re42Os55,3,42,55,639,407,0.64,0.98,0.31,HCP
W3Re45Os52,3,45,52,632,409,0.65,1.12,0.33,HCP
W3Re48Os49,3,48,49,631,398,0.63,1.4,0.32,HCP
W3Re51Os46,3,51,46,610,409,0.67,1.68,0.36,HCP
W3Re54Os43,3,54,43,583,398,0.68,2.1,0.38,HCP
W3Re57Os40,3,57,40,557,393,0.71,2.12,0.4,HCP
W3Re60Os37,3,60,37,531,374,0.7,2.94,0.43,HCP
W3Re63Os34,3,63,34,504,361,0.72,3.5,0.45,HCP
W3Re66Os31,3,66,31,478,337,0.71,3.92,0.46,HCP
W3Re69Os28,3,69,28,452,308,0.68,4.34,0.45,HCP
W3Re72Os25,3,72,25,451,297,0.66,4.62,0.45,HCP
W3Re75Os22,3,75,22,443,282,0.64,4.9,0.44,HCP
W3Re78Os19,3,78,19,435,267,0.61,5.18,0.43,HCP
W3Re81Os16,3,81,16,419,252,0.6,5.46,0.44,HCP
W3Re84Os13,3,84,13,421,254,0.6,5.6,0.44,HCP
W3Re87Os10,3,87,10,417,256,0.61,5.77,0.46,HCP
W3Re90Os7,3,90,7,415,236,0.57,5.33,0.41,HCP
W3Re93Os4,3,93,4,423,201,0.48,6.0,0.39,HCP
W6Re3Os91,6,3,91,756,438,0.58,0.0,0.25,HCP
W6Re6Os88,6,6,88,782,499,0.64,0.0,0.32,HCP
W6Re9Os85,6,9,85,848,533,0.63,0.0,0.32,HCP
W6Re12Os82,6,12,82,789,496,0.63,0.0,0.31,HCP
W6Re15Os79,6,15,79,741,488,0.66,0.0,0.33,HCP
W6Re18Os76,6,18,76,715,465,0.65,0.14,0.32,HCP
W6Re21Os73,6,21,73,689,415,0.6,0.28,0.27,HCP
W6Re24Os70,6,24,70,660,397,0.6,0.28,0.27,HCP
W6Re27Os67,6,27,67,635,370,0.58,0.42,0.24,HCP
W6Re30Os64,6,30,64,636,390,0.61,0.56,0.28,HCP
W6Re33Os61,6,33,61,632,395,0.63,0.42,0.29,HCP
W6Re36Os58,6,36,58,610,388,0.64,0.28,0.29,HCP
W6Re39Os55,6,39,55,612,389,0.64,0.14,0.29,HCP
W6Re42Os52,6,42,52,609,395,0.65,1.53,0.34,HCP
W6Re45Os49,6,45,49,614,405,0.66,1.61,0.35,HCP
W6Re48Os46,6,48,46,632,411,0.65,1.93,0.36,HCP
W6Re51Os43,6,51,43,611,423,0.69,2.35,0.41,HCP
W6Re54Os40,6,54,40,562,390,0.69,2.38,0.4,HCP
W6Re57Os37,6,57,37,530,374,0.71,2.77,0.42,HCP
W6Re60Os34,6,60,34,504,361,0.72,3.67,0.46,HCP
W6Re63Os31,6,63,31,463,338,0.73,4.83,0.51,HCP
W6Re66Os28,6,66,28,474,329,0.69,5.31,0.5,HCP
W6Re69Os25,6,69,25,463,316,0.68,4.48,0.46,HCP
W6Re72Os22,6,72,22,457,296,0.65,4.76,0.44,HCP
W6Re75Os19,6,75,19,450,276,0.61,4.9,0.42,HCP
W6Re78Os16,6,78,16,444,267,0.6,5.32,0.43,HCP
W6Re81Os13,6,81,13,438,259,0.59,5.32,0.43,HCP
W6Re84Os10,6,84,10,436,263,0.6,5.6,0.44,HCP
W6Re87Os7,6,87,7,434,266,0.61,5.74,0.46,HCP
W6Re90Os4,6,90,4,433,271,0.63,5.88,0.47,HCP
W9Re3Os88,9,3,88,755,403,0.53,0.0,0.2,HCP
W9Re6Os85,9,6,85,768,428,0.56,0.0,0.23,HCP
W9Re9Os82,9,9,82,794,460,0.58,0.0,0.26,HCP
W9Re12Os79,9,12,79,768,463,0.6,0.0,0.28,HCP
W9Re15Os76,9,15,76,715,431,0.6,0.0,0.27,HCP
W9Re18Os73,9,18,73,689,423,0.61,0.14,0.28,HCP
W9Re21Os70,9,21,70,662,406,0.61,0.28,0.28,HCP
W9Re24Os67,9,24,67,658,411,0.62,0.42,0.29,HCP
W9Re27Os64,9,27,64,636,398,0.63,0.42,0.29,HCP
W9Re30Os61,9,30,61,610,388,0.64,0.42,0.3,HCP
W9Re33Os58,9,33,58,614,398,0.65,0.28,0.31,HCP
W9Re36Os55,9,36,55,608,401,0.66,0.14,0.31,HCP
W9Re39Os52,9,39,52,616,406,0.66,0.0,0.31,HCP
W9Re42Os49,9,42,49,607,407,0.67,0.0,0.32,HCP
W9Re45Os46,9,45,46,609,415,0.68,0.28,0.34,HCP
W9Re48Os43,9,48,43,584,398,0.68,0.56,0.34,HCP
W9Re51Os40,9,51,40,583,404,0.69,1.26,0.37,HCP
W9Re54Os37,9,54,37,534,376,0.7,2.1,0.4,HCP
W9Re57Os34,9,57,34,530,383,0.72,3.81,0.47,HCP
W9Re60Os31,9,60,31,479,349,0.73,4.98,0.51,HCP
W9Re63Os28,9,63,28,477,343,0.72,5.0,0.51,HCP
W9Re66Os25,9,66,25,473,333,0.7,5.22,0.5,HCP
W9Re69Os22,9,69,22,475,341,0.72,5.11,0.51,HCP
W9Re72Os19,9,72,19,476,323,0.68,5.13,0.48,HCP
W9Re75Os16,9,75,16,467,315,0.67,5.33,0.49,HCP
W9Re78Os13,9,78,13,454,306,0.67,5.56,0.49,HCP
W9Re81Os10,9,81,10,452,299,0.66,5.68,0.49,HCP
W9Re84Os7,9,84,7,455,289,0.64,5.46,0.46,HCP
W9Re87Os4,9,87,4,458,279,0.61,5.12,0.43,HCP
W12Re3Os85,12,3,85,745,444,0.6,0.0,0.27,HCP
W12Re6Os82,12,6,82,741,467,0.63,0.0,0.3,HCP
W12Re9Os79,12,9,79,742,487,0.66,0.0,0.33,HCP
W12Re12Os76,12,12,76,689,466,0.68,0.0,0.34,HCP
W12Re15Os73,12,15,73,662,444,0.67,0.14,0.33,HCP
W12Re18Os70,12,18,70,630,418,0.66,0.28,0.32,HCP
W12Re21Os67,12,21,67,612,413,0.67,0.28,0.33,HCP
W12Re24Os64,12,24,64,611,412,0.67,0.28,0.33,HCP
W12Re27Os61,12,27,61,583,388,0.67,0.28,0.32,HCP
W12Re30Os58,12,30,58,583,384,0.66,0.28,0.31,HCP
W12Re33Os55,12,33,55,557,374,0.67,1.75,0.36,HCP
W12Re36Os52,12,36,52,556,379,0.68,1.74,0.37,HCP
W12Re39Os49,12,39,49,553,386,0.7,1.36,0.37,HCP
W12Re42Os46,12,42,46,559,390,0.7,1.75,0.38,HCP
W12Re45Os43,12,45,43,558,395,0.71,2.05,0.4,HCP
W12Re48Os40,12,48,40,545,384,0.7,2.62,0.42,HCP
W12Re51Os37,12,51,37,532,375,0.7,3.51,0.45,HCP
W12Re54Os34,12,54,34,530,380,0.72,3.92,0.47,HCP
W12Re57Os31,12,57,31,504,361,0.72,4.72,0.5,HCP
W12Re60Os28,12,60,28,477,318,0.67,5.73,0.5,HCP
W12Re63Os25,12,63,25,478,305,0.64,5.8,0.48,HCP
W12Re66Os22,12,66,22,477,320,0.67,5.89,0.51,HCP
W12Re69Os19,12,69,19,475,315,0.66,6.0,0.5,HCP
W12Re72Os16,12,72,16,477,303,0.64,6.0,0.49,HCP
W12Re75Os13,12,75,13,481,311,0.65,6.0,0.49,HCP
W12Re78Os10,12,78,10,481,326,0.68,6.0,0.51,HCP
W12Re81Os7,12,81,7,481,315,0.65,6.0,0.5,HCP
W12Re84Os4,12,84,4,481,297,0.62,5.35,0.45,HCP
W15Re3Os82,15,3,82,734,439,0.6,0.0,0.27,HCP
W15Re6Os79,15,6,79,741,474,0.64,0.0,0.31,HCP
W15Re9Os76,15,9,76,688,435,0.63,1.67,0.34,HCP
W15Re12Os73,15,12,73,653,423,0.65,1.34,0.34,HCP
W15Re15Os70,15,15,70,662,427,0.65,1.35,0.34,HCP
W15Re18Os67,15,18,67,643,415,0.65,1.34,0.33,HCP
W15Re21Os64,15,21,64,642,416,0.65,1.78,0.35,HCP
W15Re24Os61,15,24,61,583,391,0.67,1.63,0.36,HCP
W15Re27Os58,15,27,58,585,399,0.68,1.43,0.36,HCP
W15Re30Os55,15,30,55,565,388,0.69,1.57,0.37,HCP
W15Re33Os52,15,33,52,557,386,0.69,1.93,0.38,HCP
W15Re36Os49,15,36,49,559,394,0.7,1.87,0.39,HCP
W15Re39Os46,15,39,46,562,396,0.7,2.15,0.4,HCP
W15Re42Os43,15,42,43,531,374,0.7,2.68,0.42,HCP
W15Re45Os40,15,45,40,530,374,0.71,2.88,0.43,HCP
W15Re48Os37,15,48,37,532,387,0.73,2.91,0.44,HCP
W15Re51Os34,15,51,34,533,376,0.71,3.94,0.47,HCP
W15Re54Os31,15,54,31,504,355,0.7,4.93,0.5,HCP
W15Re57Os28,15,57,28,508,358,0.7,5.14,0.51,HCP
W15Re60Os25,15,60,25,477,331,0.69,5.13,0.49,HCP
W15Re63Os22,15,63,22,478,326,0.68,5.32,0.49,HCP
W15Re66Os19,15,66,19,517,333,0.64,5.36,0.47,HCP
W15Re69Os16,15,69,16,504,341,0.68,5.44,0.5,HCP
W15Re72Os13,15,72,13,504,341,0.68,5.57,0.5,HCP
W15Re75Os10,15,75,10,506,343,0.68,5.72,0.51,HCP
W15Re78Os7,15,78,7,503,339,0.67,5.41,0.49,HCP
W15Re81Os4,15,81,4,501,335,0.67,5.55,0.5,HCP
W18Re3Os79,18,3,79,694,436,0.63,0.0,0.29,HCP
W18Re6Os76,18,6,76,689,444,0.64,0.0,0.31,HCP
W18Re9Os73,18,9,73,662,446,0.67,0.0,0.33,HCP
W18Re12Os70,18,12,70,636,421,0.66,0.37,0.32,HCP
W18Re15Os67,18,15,67,643,431,0.67,0.28,0.33,HCP
W18Re18Os64,18,18,64,610,413,0.68,0.66,0.34,HCP
W18Re21Os61,18,21,61,583,398,0.68,1.04,0.35,HCP
W18Re24Os58,18,24,58,584,405,0.69,0.68,0.35,HCP
W18Re27Os55,18,27,55,557,393,0.71,1.54,0.38,HCP
W18Re30Os52,18,30,52,556,398,0.72,1.86,0.4,HCP
W18Re33Os49,18,33,49,562,402,0.72,2.53,0.43,HCP
W18Re36Os46,18,36,46,553,396,0.72,2.44,0.42,HCP
W18Re39Os43,18,39,43,530,380,0.72,3.12,0.44,HCP
W18Re42Os40,18,42,40,531,380,0.72,3.2,0.45,HCP
W18Re45Os37,18,45,37,534,382,0.72,3.13,0.44,HCP
W18Re48Os34,18,48,34,529,373,0.71,3.66,0.45,HCP
W18Re51Os31,18,51,31,504,355,0.7,4.5,0.48,HCP
W18Re54Os28,18,54,28,504,355,0.7,4.5,0.48,HCP
W18Re57Os25,18,57,25,502,354,0.71,4.53,0.48,HCP
W18Re60Os22,18,60,22,501,347,0.69,4.77,0.48,HCP
W18Re63Os19,18,63,19,506,352,0.7,4.79,0.49,HCP
W18Re66Os16,18,66,16,504,342,0.68,5.66,0.51,HCP
W18Re69Os13,18,69,13,531,359,0.68,5.55,0.51,HCP
W18Re72Os10,18,72,10,530,358,0.68,5.73,0.51,HCP
W18Re75Os7,18,75,7,532,365,0.69,5.21,0.5,HCP
W18Re78Os4,18,78,4,534,380,0.71,5.88,0.54,HCP
W21Re3Os76,21,3,76,707,453,0.64,0.14,0.31,HCP
W21Re6Os73,21,6,73,689,445,0.65,0.13,0.31,HCP
W21Re9Os70,21,9,70,662,431,0.65,0.56,0.32,HCP
W21Re12Os67,21,12,67,664,442,0.67,0.28,0.33,HCP
W21Re15Os64,21,15,64,636,422,0.66,0.42,0.33,HCP
W21Re18Os61,21,18,61,610,416,0.68,0.66,0.35,HCP
W21Re21Os58,21,21,58,611,431,0.71,0.28,0.36,HCP
W21Re24Os55,21,24,55,583,424,0.73,0.84,0.39,HCP
W21Re27Os52,21,27,52,584,432,0.74,1.72,0.42,HCP
W21Re30Os49,21,30,49,557,412,0.74,2.56,0.45,HCP
W21Re33Os46,21,33,46,556,411,0.74,2.74,0.45,HCP
W21Re36Os43,21,36,43,531,386,0.73,3.24,0.46,HCP
W21Re39Os40,21,39,40,528,384,0.73,3.3,0.46,HCP
W21Re42Os37,21,42,37,531,380,0.72,3.52,0.46,HCP
W21Re45Os34,21,45,34,522,368,0.7,3.6,0.45,HCP
W21Re48Os31,21,48,31,531,374,0.7,3.9,0.46,HCP
W21Re51Os28,21,51,28,530,374,0.71,4.12,0.47,HCP
W21Re54Os25,21,54,25,531,374,0.7,4.032,0.47,HCP
W21Re57Os22,21,57,22,533,382,0.72,4.33,0.49,HCP
W21Re60Os19,21,60,19,533,376,0.71,5.25,0.52,HCP
W21Re63Os16,21,63,16,531,374,0.7,5.27,0.52,HCP
W21Re66Os13,21,66,13,540,374,0.69,5.36,0.51,HCP
W21Re69Os10,21,69,10,562,383,0.68,5.6,0.52,HCP
W21Re72Os7,21,72,7,556,381,0.69,5.44,0.51,HCP
W21Re75Os4,21,75,4,584,406,0.7,5.36,0.52,HCP
W24Re3Os73,24,3,73,675,444,0.66,0.336,0.32,HCP
W24Re6Os70,24,6,70,668,432,0.65,0.14,0.31,HCP
W24Re9Os67,24,9,67,662,427,0.65,0.35,0.31,HCP
W24Re12Os64,24,12,64,643,416,0.65,0.66,0.32,HCP
W24Re15Os61,24,15,61,634,432,0.68,0.56,0.35,HCP
W24Re18Os58,24,18,58,613,432,0.7,0.84,0.37,HCP
W24Re21Os55,24,21,55,609,443,0.73,1.12,0.4,HCP
W24Re24Os52,24,24,52,583,437,0.75,1.45,0.42,HCP
W24Re27Os49,24,27,49,593,454,0.77,2.65,0.48,HCP
W24Re30Os46,24,30,46,562,422,0.75,2.78,0.46,HCP
W24Re33Os43,24,33,43,557,418,0.75,3.1,0.47,HCP
W24Re36Os40,24,36,40,530,392,0.74,3.84,0.49,HCP
W24Re39Os37,24,39,37,530,386,0.73,4.08,0.49,HCP
W24Re42Os34,24,42,34,533,382,0.72,4.26,0.49,HCP
W24Re45Os31,24,45,31,531,374,0.7,4.4,0.48,HCP
W24Re48Os28,24,48,28,534,362,0.68,4.68,0.47,HCP
W24Re51Os25,24,51,25,532,375,0.7,4.82,0.5,HCP
W24Re54Os22,24,54,22,538,379,0.7,4.96,0.51,HCP
W24Re57Os19,24,57,19,535,383,0.72,5.1,0.52,HCP
W24Re60Os16,24,60,16,562,409,0.73,5.13,0.53,HCP
W24Re63Os13,24,63,13,583,424,0.73,5.68,0.56,HCP
W24Re66Os10,24,66,10,583,417,0.72,5.65,0.55,HCP
W24Re69Os7,24,69,7,610,423,0.69,5.35,0.53,HCP
W24Re72Os4,24,72,4,636,456,0.72,5.13,0.54,HCP+BCT-ReW
W27Re3Os70,27,3,70,662,444,0.67,0.0,0.33,HCP
W27Re6Os67,27,6,67,684,432,0.63,0.14,0.3,HCP
W27Re9Os64,27,9,64,662,433,0.65,0.88,0.33,HCP
W27Re12Os61,27,12,61,636,426,0.67,1.16,0.35,HCP
W27Re15Os58,27,15,58,610,430,0.7,1.3,0.38,HCP
W27Re18Os55,27,18,55,606,448,0.74,1.12,0.41,HCP
W27Re21Os52,27,21,52,610,458,0.75,1.86,0.44,HCP
W27Re24Os49,27,24,49,583,444,0.76,2.14,0.45,HCP
W27Re27Os46,27,27,46,585,452,0.77,2.42,0.47,HCP
W27Re30Os43,27,30,43,556,423,0.76,2.7,0.47,HCP
W27Re33Os40,27,33,40,557,422,0.76,3.48,0.49,HCP
W27Re36Os37,27,36,37,530,392,0.74,3.42,0.47,HCP
W27Re39Os34,27,39,34,557,412,0.74,4.02,0.5,HCP
W27Re42Os31,27,42,31,562,415,0.74,4.03,0.5,HCP
W27Re45Os28,27,45,28,557,408,0.73,4.21,0.5,HCP
W27Re48Os25,27,48,25,559,409,0.73,4.19,0.5,HCP
W27Re51Os22,27,51,22,583,428,0.73,4.14,0.51,HCP
W27Re54Os19,27,54,19,610,450,0.74,4.15,0.51,HCP
W27Re57Os16,27,57,16,611,451,0.74,4.35,0.52,HCP
W27Re60Os13,27,60,13,643,482,0.75,4.44,0.54,HCP
W27Re63Os10,27,63,10,609,488,0.8,4.46,0.57,HCP+BCT-ReW
W27Re66Os7,27,66,7,660,480,0.73,4.12,0.51,HCP+BCT-ReW
W27Re69Os4,27,69,4,665,476,0.72,3.36,0.48,HCP+BCT-ReW
W30Re3Os67,30,3,67,643,421,0.65,0.28,0.32,HCP
W30Re6Os64,30,6,64,643,413,0.64,1.21,0.33,HCP
W30Re9Os61,30,9,61,635,424,0.67,1.68,0.36,HCP
W30Re12Os58,30,12,58,636,441,0.69,1.46,0.38,HCP
W30Re15Os55,30,15,55,610,444,0.73,1.45,0.41,HCP
W30Re18Os52,30,18,52,606,462,0.76,1.56,0.44,HCP
W30Re21Os49,30,21,49,608,470,0.77,1.99,0.46,HCP
W30Re24Os46,30,24,46,610,479,0.79,2.23,0.48,HCP
W30Re27Os43,30,27,43,586,460,0.78,2.88,0.5,HCP
W30Re30Os40,30,30,40,588,456,0.78,3.34,0.51,HCP
W30Re33Os37,30,33,37,583,448,0.77,3.42,0.5,HCP
W30Re36Os34,30,36,34,583,444,0.76,3.66,0.51,HCP
W30Re39Os31,30,39,31,614,467,0.76,3.8,0.52,HCP
W30Re42Os28,30,42,28,611,448,0.73,4.12,0.51,HCP
W30Re45Os25,30,45,25,610,449,0.74,4.23,0.52,HCP
W30Re48Os22,30,48,22,643,474,0.74,4.15,0.52,HCP
W30Re51Os19,30,51,19,662,489,0.74,4.14,0.52,HCP
W30Re54Os16,30,54,16,689,509,0.74,4.16,0.53,HCP
W30Re57Os13,30,57,13,723,551,0.76,4.09,0.55,HCP+BCT-ReW
W30Re60Os10,30,60,10,723,551,0.76,4.08,0.55,HCP+BCT-ReW
