focal_species,partner_species,focal_species_long,partner_species_long,fold_change,p,padj,interaction_type
Bt,Bt,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,1.0,1.0,1.0,
Bt,Bu,Bacteroides thetaiotaomicron,Bacteroides uniformis,0.589743045588453,6.47601200116009e-17,9.627671175058e-16,competition
Bt,Pv,Bacteroides thetaiotaomicron,Phocaeicola vulgatus (formerly Bacteroides vulgatus),0.510567246028375,7.3232186801852e-19,2.08769531344444e-17,competition
Bt,Ca,Bacteroides thetaiotaomicron,Collinsella aerofaciens,1.023459390227,0.223265417758603,0.260671142199835,amensalism
Bt,Cd,Bacteroides thetaiotaomicron,Clostridioides difficile (formerly Clostridium difficile),0.648890278408908,2.72121694172168e-15,3.03415689001967e-14,exploitation
Bt,Cs,Bacteroides thetaiotaomicron,Clostridium sporogenes,0.782971940818175,7.42673714529403e-12,3.68036085200126e-11,competition
Bt,Ec,Bacteroides thetaiotaomicron,Escherichia coli,0.865448753253329,1.44364506179528e-07,3.36745520018645e-07,competition
Bt,Ar,Bacteroides thetaiotaomicron,Agathobacter rectalis (formerly Eubacterium rectale),0.938830967452726,0.0157381383343662,0.0204046793521143,amensalism
Bt,Ka,Bacteroides thetaiotaomicron,Klebsiella aerogenes,0.60943127654157,3.22907784149908e-16,4.35856697869052e-15,exploitation
Bt,La,Bacteroides thetaiotaomicron,Lactobacillus acidophilus,0.693169156987393,1.99493838310678e-11,9.44464600881809e-11,exploitation
Bt,Lg,Bacteroides thetaiotaomicron,Lactobacillus gasseri,0.731270353887301,7.85006807327768e-13,5.14872111864977e-12,competition
Bt,Ls,Bacteroides thetaiotaomicron,Lacrimispora saccharolytica (formerly Clostridium saccharolyticum),0.868601953539429,3.24537628290059e-08,8.31860817341185e-08,exploitation
Bt,Sc,Bacteroides thetaiotaomicron,Segatella copri (formerly Prevotella copri),0.818350735255695,2.29380684258049e-10,8.38555616222051e-10,competition
Bt,Pm,Bacteroides thetaiotaomicron,Parabacteroides merdae ,0.854128943004251,5.44088491061686e-09,1.59647017772047e-08,competition
Bt,Rg,Bacteroides thetaiotaomicron,Ruminococcus gnavus,0.818576116290506,1.20552708725553e-08,3.3764332133096e-08,competition
Bu,Bt,Bacteroides uniformis,Bacteroides thetaiotaomicron,0.486494350312425,3.63004323527337e-18,8.09499641465962e-17,competition
Bu,Bu,Bacteroides uniformis,Bacteroides uniformis,1.0,1.0,1.0,
Bu,Pv,Bacteroides uniformis,Phocaeicola vulgatus (formerly Bacteroides vulgatus),0.423424389844884,1.35152091280529e-17,2.73990148686892e-16,competition
Bu,Ca,Bacteroides uniformis,Collinsella aerofaciens,1.34553900926717,7.33221804345591e-15,7.10906358126377e-14,exploitation
Bu,Cd,Bacteroides uniformis,Clostridioides difficile (formerly Clostridium difficile),0.87327058640747,6.96687261351098e-08,1.70726658550873e-07,exploitation
