strain_id,strain,genus,polysaccharide,polysaccharide_name,polysaccharide_source,source_kingdom,OD600_48h,OD600_48h_sd,n_rep,OD600_48h_batch1,OD600_48h_batch2
DA103,Bacteroides_massiliensis,Bacteroides,APs,Astragalus polysaccharides,Astragalus membranaceus,Plant,0.03,0.026057628441590763,3,0.03,
DA103,Bacteroides_massiliensis,Bacteroides,AdPs,Adenophora polysaccharides,Glehnia littoralis,Plant,-0.0018333333333333333,0.0023166067138525406,6,-0.002,-0.0016666666666666668
DA103,Bacteroides_massiliensis,Bacteroides,AnPs,Angelica polysaccharides,Angelica sinensis,Plant,0.010833333333333334,0.009826834010334492,6,0.018,0.0036666666666666666
DA103,Bacteroides_massiliensis,Bacteroides,CPPs,Codonopsis pilosula polysaccharides,Codonopsis pilosula,Plant,-0.0033333333333333335,0.0028751811537130437,6,-0.004333333333333334,-0.0023333333333333335
DA103,Bacteroides_massiliensis,Bacteroides,DPs_1,Dendrobe polysaccharides 1,Dendrobium officinale,Plant,0.0845,0.02179449471770337,3,0.0845,
DA103,Bacteroides_massiliensis,Bacteroides,DPs_2,Dendrobe polysaccharides 2,Dendrobium officinale,Plant,0.039,0.004358898943540671,3,0.039,
DA103,Bacteroides_massiliensis,Bacteroides,GLPs_1,Ganoderma lucidum polysaccharides 1,Ganoderma lucidum,Fungus,-0.0071666666666666675,0.011590225767142474,3,-0.0071666666666666675,
DA103,Bacteroides_massiliensis,Bacteroides,GLPs_2,Ganoderma lucidum polysaccharides 2,Ganoderma lucidum,Fungus,0.03366666666666667,0.029871948937646057,3,0.03366666666666667,
DA103,Bacteroides_massiliensis,Bacteroides,GPs,Ginseng polysaccharides,Panax ginseng,Plant,0.0785,0.0036055512754639926,3,0.0785,
DA103,Bacteroides_massiliensis,Bacteroides,HAPs,Hovenia acerba polysaccharides,Hovenia acerba,Plant,-0.005833333333333334,0.0038686776379877746,6,-0.0026666666666666666,-0.009
DA103,Bacteroides_massiliensis,Bacteroides,LBPs_1,Lycium barbarum polysaccharides 1,Lycium barbarum,Plant,0.054,0.010535653752852741,3,0.054,
DA103,Bacteroides_massiliensis,Bacteroides,LBPs_2,Lycium barbarum polysaccharides 2,Lycium barbarum,Plant,0.0,0.0,3,0.0,
DA103,Bacteroides_massiliensis,Bacteroides,PLPs,Pueraria lobata polysaccharides,Pueraria lobata,Plant,0.028666666666666663,0.02215099696778153,6,0.03133333333333333,0.025999999999999995
DA103,Bacteroides_massiliensis,Bacteroides,PPs,Poria polysaccharides,Poria cocos,Fungus,-0.0028333333333333335,0.0027141603981096375,6,-0.0026666666666666666,-0.0030000000000000005
DA103,Bacteroides_massiliensis,Bacteroides,PQPs,Panax Quinquefolium polysaccharides,Panax quinquefolium,Plant,-0.011666666666666667,0.01364795466971761,6,-0.024000000000000004,0.0006666666666666666
