cell_line,tissue,neuroectoderm,age,sex
BT-549,Breast,No,72.0,F
MCF7,Breast,No,69.0,F
MDA-MB-231,Breast,No,51.0,F
MDA-MB-468,Breast,No,31.0,F
T-47D,Breast,No,54.0,F
HCT-116,Colon,No,,M
HCT-15,Colon,No,,
HT29,Colon,No,44.0,F
SW-620,Colon,No,51.0,M
786-0,Kidney,No,58.0,M
A498,Kidney,No,52.0,F
ACHN,Kidney,No,22.0,M
CAKI-1,Kidney,No,49.0,M
RXF 393,Kidney,No,54.0,M
SN12C,Kidney,No,43.0,M
TK-10,Kidney,No,43.0,M
UO-31,Kidney,No,,F
A549,Lung,No,58.0,M
EKVX,Lung,No,,M
NCI-H226,Lung,No,,M
NCI-H23,Lung,No,,M
NCI-H460,Lung,No,,M
NCI-H522,Lung,No,,M
HOP-62,Lung,No,60.0,F
HOP-92,Lung,No,62.0,M
IGROV1,Ovary,No,47.0,F
ADR-RES,Ovary,No,,F
OVCAR-3,Ovary,No,60.0,F
OVCAR-4,Ovary,No,42.0,F
OVCAR-5,Ovary,No,67.0,F
OVCAR-8,Ovary,No,64.0,F
SK-OV-3,Ovary,No,64.0,F
DU-145,Prostate,No,69.0,M
PC-3,Prostate,No,62.0,M
K562,Myeloid,No,53.0,F
MOLT-4,Myeloid,No,19.0,M
CCRF-CEM,Myeloid,No,4.0,F
SF-268,CNS,Yes,24.0,F
SF-295,CNS,Yes,67.0,F
SF-539,CNS,Yes,34.0,F
SNB-19,CNS,Yes,47.0,M
SNB-75,CNS,Yes,,F
U251,CNS,Yes,75.0,M
M14,Melanocytes,Yes,,
MALME-3M,Melanocytes,Yes,43.0,M
MDA-MB-435,Melanocytes,Yes,31.0,F
SK-MEL-2,Melanocytes,Yes,60.0,M
SK-MEL-28,Melanocytes,Yes,51.0,M
SK-MEL-5,Melanocytes,Yes,24.0,F
UACC-257,Melanocytes,Yes,,
UACC-62,Melanocytes,Yes,,
