catnr,compound_name,hgpcr,rlu,z_score,smiles
CFN96101,Antirhine,5HT4B,3000.5,0.24088955695592687,C=C[C@@H](CO)[C@H]1CCN2CCC3=C([C@@H]2C1)NC4=CC=CC=C34
CFN96097,10-Hydroxy-16-epiaffinine,5HT4B,2583.0,-0.7284732385052728,CC=C1CN(C2CC3=C(C(=O)CC1C2CO)NC4=C3C=C(C=C4)O)C
CFN96069,19(S)-Hydroxyconopharyngine,5HT4B,2565.5,-0.7691052119677183,C[C@@H]([C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC)O
CFN96068,Conopharyngine,5HT4B,3264.5,0.8538518994751046,CC[C@H]1CC2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CFN96030,16-Epivoacarpine,5HT4B,3024.5,0.2966134062758521,C/C=C\1/CN2[C@H]3CC4=C([C@@]2(C[C@@H]1[C@@]3(CO)C(=O)OC)O)NC5=CC=CC=C45
CFN96018,Gelsempervine A,5HT4B,2673.0,-0.5195088035555531,C/C=C\1/CN([C@H]2CC3=C(C(=O)C[C@@H]1[C@@]2(CO)C(=O)OC)NC4=CC=CC=C34)C
CFN96004,16-Epikoumidine,5HT4B,2099.0,-1.8522375331237653,CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO
CFN92745,3Beta-Isodihydrocadambine 4-oxide,5HT4B,2280.5,-1.4308259226418307,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C[C@H]3C4=C(CC[N+]3([C@H]2CO)[O-])C5=CC=CC=C5N4)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O
CFN92641,Isovallesiachotamine,5HT4B,2990.0,0.21651037287845956,C/C=C(\C=O)/[C@@H]1C[C@H]2C3=C(CCN2C=C1C(=O)OC)C4=CC=CC=C4N3
CFN92640,Vallesiachotamine,5HT4B,3109.0,0.4928077924230889,C/C=C(/C=O)\[C@@H]1C[C@H]2C3=C(CCN2C=C1C(=O)OC)C4=CC=CC=C4N3
CFN92612,(+)-Affinisine,5HT4B,2965.5,0.15962561003103587,C/C=C\1/CN2[C@H]3C[C@@H]1[C@H]([C@@H]2CC4=C3N(C5=CC=CC=C45)C)CO
CFN92611,Ajmalan-17-one,5HT4B,2959.5,0.14569464770105456,C/C=C/1\CN2[C@H]3CC45[C@H](C2C[C@@H]1[C@@H]3C4=O)N(C6=C5C=CC=C6O)C
CFN92583,Reserpin N-oxide,5HT4B,3001.0,0.24205047048342532,CO[C@H]1[C@@H](C[C@@H]2C[N+]3(CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)[O-])OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CFN92581,Ajmalidine,5HT4B,2832.5,-0.1491773882835499,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2C5=O)N3[C@@H]1O)C6=CC=CC=C6N4C
CFN92580,Reserpinine,5HT4B,3418.5,1.211413265944625,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C(=C6)OC)OC)OC
CFN92579,Methyl reserpate,5HT4B,2880.5,-0.03772968964369939,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)O
CFN92577,Allo-Yohimbine,5HT4B,3102.5,0.4777159165656092,COC(=O)[C@H]1[C@H](CC[C@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
CFN92509,(+)-Isoajmaline,5HT4B,3326.5,0.9978051768849115,CC[C@@H]1[C@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2C5O)N3[C@H]1O)C6=CC=CC=C6N4C
CFN92504,Rauvomitin,5HT4B,3223.5,0.7586569902202323,C/C=C\1/CN2[C@H]3C[C@@H]1[C@@H]4[C@@H]2C[C@@]5(C3N(C6=CC=CC=C65)C)C4OC(=O)C7=CC(=C(C(=C7)OC)OC)OC
CFN92503,Ajmalimine,5HT4B,3312.5,0.9652995981149551,CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(C6=CC=CC=C65)C)C4OC(=O)C7=CC(=C(C(=C7)OC)OC)OC)O
CFN90466,Vinleurosine,5HT4B,3182.0,0.6623011674378616,CC[C@]12CN3CCC4=C([C@](C[C@@H](C3)[C@H]1O2)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)NC1=CC=CC=C41
CFN90465,Vindesine,5HT4B,3504.5,1.4110903926743572,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O
CFN90441,Perivine,5HT4B,3601.5,1.636307617009055,C/C=C\1/CN[C@H]2CC3=C(C(=O)C[C@@H]1[C@@H]2C(=O)OC)NC4=CC=CC=C34
CFN90439,10-Nitro-camptothecin,5HT4B,2859.0,-0.08764897132613242,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)[N+](=O)[O-])O
CFN90401,Vinorelbine,5HT4B,2897.0,0.0005804567637492213,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
CFN90334,Emetine Hydrochloride,5HT4B,3211.0,0.7296341520327713,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC
CFN90309,9-Aminocamptothecin,5HT4B,3096.5,0.4637849542356279,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
CFN90157,10-Methoxycamptothecin,5HT4B,3148.0,0.5833590475679674,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OC)O
CFN90130,Calebassine,5HT4B,3013.0,0.26991239514338794,C/C=C/1\C2C3C4(N(C5=CC=CC=C5C46C(C2)[N+](C1)(CC6)C)C7C3N8C9(C7C1/C(=C\C)/C[N+]2(C(C9(C3=CC=CC=C83)CC2)C1)C)O)O
CFN96067,Pericyclivine,5HT4B,3508.0,1.4192167873668462,C/C=C/1\CN2[C@@H]3CC4=C(C2C[C@H]1C3C(=O)OC)NC5=CC=CC=C45
CFN96211,Macusine B,5HT4B,2896.0,-0.0017413702912476641,CC=C1C[N+]2(C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO)C
CFN98652,"4,R-ajmalicine N-oxide",5HT4B,3265.0,0.855012813002603,C[C@H]1[C@H]2C[N+]3(CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45)[O-]
CFN96329,Conquinamine,5HT4B,2919.5,0.05282156550117914,C=CC1CN2CCC1CC2C34C(CCO3)(C5=CC=CC=C5N4)O
CFN97056,11-Methoxyuncarine C,5HT4B,3126.5,0.5334397658855344,CC1C2CN3CCC4(C3CC2C(=CO1)C(=O)OC)C5=C(C=C(C=C5)OC)NC4=O
CFN97163,Nortetraphyllicine,5HT4B,2946.5,0.11551089598609506,C/C=C\1/CN2[C@H]3C[C@@H]1C4[C@@H]2C[C@@]5([C@H]3NC6=CC=CC=C65)[C@@H]4O
CFN98460,Vineridine,5HT4B,2376.5,-1.2079305253621295,C[C@H]1[C@@H]2CN3CC[C@@]4([C@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=C(C=C(C=C5)OC)NC4=O
CFN97316,Picrasidine A,5HT4B,2965.5,0.15962561003103587,COC1=CC=CC2=C1NC3=C2C(=CN=C3CCC(=O)C4=NC=CC5=C4NC6=CC=CC=C56)OC
CFN96242,Akuammidine,5HT4B,3015.0,0.2745560492533817,C/C=C\1/CN2[C@H]3C[C@@H]1[C@]([C@@H]2CC4=C3NC5=CC=CC=C45)(CO)C(=O)OC
CFN96445,Voafinidine,5HT4B,3017.0,0.27919970336337546,CC[C@]12CCC3=C(CCN(C1)C[C@@H]([C@H]2O)O)C4=CC=CC=C4N3C
